Column,Código,Carpeta,Expediente,Tipo documental,Título,Descripción,Autor,Fecha inicial,Fecha final,B/N o Color,Dimensiones,Observaciones,publicable,Número de imágenes,Personajes,img,Column2,Column3,Formato,ruta_doc,doc_existe,ruta_alta,alta_existe,ruta_media,media_existe,archivos_media,ruta_baja,baja_existe,ruta_mini,mini_existe,urls
1071,HD_CP02_EXP11_NEG03_FOT03,CP02,EXP11,Negativo,,Fotografía de Clara Inés Salamanca junto a su pareja Enrico Consoni. Están en una sesión de fotos en lo que parece ser un patio o jardín. ,Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT03/MEDIA/CP02_EXP11_NEG03_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/CP02_EXP11_NEG03_FOT03.jpg
1072,HD_CP02_EXP11_NEG03_FOT04,CP02,EXP11,Negativo,,Fotografía de Clara Inés Salamanca junto a su pareja Enrico Consoni. Están en una sesión de fotos en lo que parece ser un patio o jardín.,Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT04/MEDIA/CP02_EXP11_NEG03_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP11/HD_CP02_EXP11_NEG03/HD_CP02_EXP11_NEG03_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/CP02_EXP11_NEG03_FOT04.jpg
1073,HD_CP02_EXP12_HC01,CP02,EXP12,Hoja de contacto,,,,,,,Hoja de contacto,,0,1,,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_HC01,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_HC01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_HC01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_HC01/MEDIA/HD_CP02_EXP12_HC01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_HC01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_HC01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_HC01.jpg
1074,HD_CP02_EXP12_NEG01_FOT01,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cuál se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor. Cuelga de su antebrazo una pashmina.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT01/MEDIA/HD_CP02_EXP12_NEG01_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG01_FOT01.jpg
1075,HD_CP02_EXP12_NEG01_FOT02,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cuál se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor, también lleva puesta una pashmina.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT02/MEDIA/HD_CP02_EXP12_NEG01_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG01_FOT02.jpg
1076,HD_CP02_EXP12_NEG01_FOT03,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cual se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor, también lleva puesta una pashmina.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT03/MEDIA/HD_CP02_EXP12_NEG01_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG01_FOT03.jpg
1077,HD_CP02_EXP12_NEG01_FOT04,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cuál que se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor, también lleva puesta una pashmina.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT04/MEDIA/HD_CP02_EXP12_NEG01_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG01/HD_CP02_EXP12_NEG01_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG01_FOT04.jpg
1078,HD_CP02_EXP12_NEG02_FOT01,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cuál que se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor, también lleva puesta una pashmina.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT01/MEDIA/HD_CP02_EXP12_NEG02_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG02_FOT01.jpg
1079,HD_CP02_EXP12_NEG02_FOT02,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido blanco, el cuál se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT02/MEDIA/HD_CP02_EXP12_NEG02_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG02_FOT02.jpg
1080,HD_CP02_EXP12_NEG02_FOT03,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido blanco, el cuál se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT03/MEDIA/HD_CP02_EXP12_NEG02_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG02_FOT03.jpg
1081,HD_CP02_EXP12_NEG02_FOT04,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido blanco, el cuál se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT04/MEDIA/HD_CP02_EXP12_NEG02_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG02/HD_CP02_EXP12_NEG02_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG02_FOT04.jpg
1082,HD_CP02_EXP12_NEG03_FOT01,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cual se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor. En esta ocasión está recostada sobre lo que podestal de estudio, es decir, una caja blanca del mismo blanco que las paredes del estudio.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT01/MEDIA/HD_CP02_EXP12_NEG03_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG03_FOT01.jpg
1083,HD_CP02_EXP12_NEG03_FOT02,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cual se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor. En esta ocasión está recostada sobre lo que podestal de estudio, es decir, una caja blanca del mismo blanco que las paredes del estudio.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT02/MEDIA/HD_CP02_EXP12_NEG03_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG03_FOT02.jpg
1084,HD_CP02_EXP12_NEG03_FOT03,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cual se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor. En esta ocasión está recostada sobre lo que podestal de estudio, es decir, una caja blanca del mismo blanco que las paredes del estudio.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT03/MEDIA/HD_CP02_EXP12_NEG03_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG03_FOT03.jpg
1085,HD_CP02_EXP12_NEG03_FOT04,CP02,EXP12,Negativo,,"Fotografía en estudio de María Rosario Salamanca. Está vestida con un vestido largo, el cual se ajusta a su cintura con un cinturón de tela que tiene en su nudo una flor. En esta ocasión está recostada sobre lo que podestal de estudio, es decir, una caja blanca del mismo blanco que las paredes del estudio.",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,María Rosario Salamanca,,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT04,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT04/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT04/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT04/MEDIA/HD_CP02_EXP12_NEG03_FOT04.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT04/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP12/HD_CP02_EXP12_NEG03/HD_CP02_EXP12_NEG03_FOT04/MINI,1,http://badac.uniandes.edu.co/files/hd/HD_CP02_EXP12_NEG03_FOT04.jpg
1087,HD_CP02_EXP13_NEG01_FOT01,CP02,EXP13,Negativo,,"Fotografía en estudio de dos familiares de Hernán Díaz. Una adulta mayor, posiblemente la abuela de la familia Díaz. Y, por la íntimidad de las fotos, se asume que la mujer adulta que la acompaña es la hija. [Madre Y Hermana de Hernán Díaz]",Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,"Belarmina Giraldo, Nelly Díaz",,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT01,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT01/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT01/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT01/MEDIA/CP02_EXP13_NEG01_FOT01.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT01/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT01/MINI,1,http://badac.uniandes.edu.co/files/hd/CP02_EXP13_NEG01_FOT01.jpg
1088,HD_CP02_EXP13_NEG01_FOT02,CP02,EXP13,Negativo,,Fotografía en estudio de Belarmina Giraldo y Nelly Díaz. Belermina y su hija Nelly emanan íntimidad.,Hernán Díaz ,,,Blanco y negro,120 mm,,1,1,"Belarmina Giraldo, Nelly Díaz",,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT02,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT02/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT02/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT02/MEDIA/CP02_EXP13_NEG01_FOT02.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT02/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT02/MINI,1,http://badac.uniandes.edu.co/files/hd/CP02_EXP13_NEG01_FOT02.jpg
1089,HD_CP02_EXP13_NEG01_FOT03,CP02,EXP13,Negativo,,Fotografía en estudio de Belarmina Giraldo y Nelly Díaz. Belermina y su hija Nelly emanan íntimidad.,Hernán Díaz ,,,Blanco y negro,120 mm,Este archivo fue seleccionado para NO ser publicado.,0,1,"Belarmina Giraldo, Nelly Díaz",,,,,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT03,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT03/ALTA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT03/MEDIA/,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT03/MEDIA/CP02_EXP13_NEG01_FOT03.jpg,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT03/BAJA,1,/Volumes/Hernan_Diaz/HD/HD_CP02/HD_CP02_EXP13/HD_CP02_EXP13_NEG01/HD_CP02_EXP13_NEG01_FOT03/MINI,1,http://badac.uniandes.edu.co/files/hd/CP02_EXP13_NEG01_FOT03.jpg
